month,vwmr
11,0.050246172
11,-0.020697477
11,-0.007498581
11,-0.033407393
11,-0.029613054
11,0.036881798
11,0.042482901
11,0.022182864
11,0.1101
11,-0.1209
12,0.056382775
12,0.044657683
12,-0.026295999
12,-0.029770682
12,0.013579323
12,0.01575871
12,0.029554151
12,-0.027838248
12,0.004149611
12,0.020939478
12,-0.033067642
12,0.016524898
12,0.062478179
12,-0.029155553
12,0.047151427
12,0.039681524
12,0.039775825
12,0.049853096
12,0.012071626
12,0.016910616
12,-0.014988895
12,0.025404049
12,0.045644443
12,0.016665422
12,0.042990819
12,0.044791124
12,-0.02306595
12,0.020569862
12,-0.001206353
12,0.007074266
12,0.007062637
12,-0.018560609
12,0.036718113
12,-0.012939723
12,0.1071
12,-0.0342
